class,baseline_RF,temporal_RF,delta_RF,baseline_XGB,temporal_XGB,delta_XGB,baseline_LGBM,temporal_LGBM,delta_LGBM
BENIGN,0.9980,0.9986,0.0006,0.9980,0.9990,0.0010,0.9980,0.9988,0.0008
Bot,0.5032,0.5904,0.0872,0.5030,0.6738,0.1708,0.5031,0.6336,0.1305
DDOS-HOIC,0.9963,0.9974,0.0011,0.9962,0.9977,0.0015,0.9963,0.9978,0.0015
DoS-GoldenEye,0.9450,1.0000,0.0550,0.9422,0.9897,0.0475,0.9450,0.9999,0.0549
DoS-Hulk,0.9999,1.0000,0.0001,0.9999,1.0000,0.0001,0.9999,1.0000,0.0001
DoS-SlowHTTPTest,0.6015,1.0000,0.3985,0.5948,0.9982,0.4034,0.5675,0.9390,0.3715
DoS-Slowloris,0.9653,1.0000,0.0347,0.9202,0.9989,0.0787,0.9608,0.9996,0.0388
FTP-BruteForce,0.8179,0.9921,0.1742,0.8064,0.9913,0.1849,0.7674,0.9552,0.1878
SSH-Bruteforce,0.9911,0.9970,0.0059,0.9912,0.9955,0.0043,0.9912,0.9943,0.0031
WEIGHTED_F1,0.9947,0.9980,+0.0033,0.9946,0.9984,+0.0038,0.9943,0.9978,+0.0035
MACRO_F1,0.8687,0.9528,+0.0841,0.8613,0.9605,+0.0991,0.8588,0.9465,+0.0877
